Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Data Scientist I,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-4 Yrs,"['Computer science', 'Training', 'deep learning', 'C++', 'Quality improvement', 'Machine learning', 'Data structures', 'Deployment']"
Senior Engineer - AI ML,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,2-5 Yrs,"['Computer science', 'C++', 'Staffing', 'Debugging', 'Algorithm development', 'System design', 'Troubleshooting', 'Application software']"
Data Scientist - Generative AI & LLM,APPLIED INFORMATION SCIENCES (AIS),Hyderabad,25-31 Yrs,"['Data Science', 'Ai Platform', 'Machine Learning', 'Data', 'Science', 'Artificial Intelligence', 'Machine']"
AI Engineer,EA Games (Electronic Arts),Hyderabad/Secunderabad,2-5 Yrs,"['Statistical programming', 'C++', 'Machine learning', 'Javascript', 'data visualization', 'Data mining', 'Information technology', 'SQL']"
Lead Data Scientist,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Pilot', 'Prototype', 'Simulation', 'data science', 'Machine learning', 'Mentor', 'Management', 'Operations']"
Generative AI Prompt Engineer,Leading Client,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",6-8 Yrs,"['Python', 'product design', 'nlp', 'Text Generative models', 'OpenAI', 'Python programming', 'LLM literature analysis', 'AI Prompt Engineer']"
Ai Ml Engineer,IQVIA,"Hybrid - Kochi/ Cochin, Kerala, Bangalore/ Bengaluru, Karnataka",4-9 Yrs,"['Artificial Intelligence', 'Natural Language Processing', 'LLM', 'Deep Learning', 'Python', 'Aiml', 'Large language model', 'Chat GPT']"
Senior Engineer - AI ML,"Qualcomm Technologies, Inc",Bangalore/Bengaluru,2-5 Yrs,"['Computer science', 'C++', 'Linux', 'Image processing', 'Debugging', 'Machine learning', 'Engineering Manager', 'MATLAB']"
AI Engineer,IBM,Bangalore/Bengaluru,4-8 Yrs,"['Automation', 'Apache', 'Open source', 'Technical support', 'Python', 'Azure', 'NLP', 'PyTorch']"
AI/ML Systems Engineer - Auto,"Qualcomm Technologies, Inc",Bangalore/Bengaluru,4-5 Yrs,"['Computer science', 'deep learning', 'Network design', 'Version control', 'GIT', 'Staffing', 'Analytical', 'Control system']"
AI ML Engineer Senior,"Qualcomm Technologies, Inc",Bangalore/Bengaluru,5-12 Yrs,"['RTOS', 'Computer science', 'C++', 'Neural networks', 'Analytical', 'Debugging', 'Embedded Linux', 'Algorithm development']"
AI Engineer,Kastech Software Solutions India,Hyderabad/Secunderabad,5-9 Yrs,"['Scalability', 'Opencv', 'User interaction', 'content generation', 'Usage', 'Artificial Intelligence', 'Generation', 'Content']"
AI Engineer,Themathcompany,Bangalore/Bengaluru,2-6 Yrs,"['Training', 'deep learning', 'Usage', 'Prototype', 'orchestration', 'Cloud', 'System design', 'model development']"
Senior AI/ML Architect- Iqvia,IQVIA,"Hybrid - Kochi, Kerala, Bengaluru",10-18 Yrs,"['AI', 'Machine Learning', 'Python', 'NLP', 'Natural Language Processing', 'Ml', 'Processing', 'Languages']"
AI-ML Data Engineer,Nokia,Bangalore/Bengaluru,3-6 Yrs,"['NoSQL', 'Intellectual property', 'Technology leadership', 'Data quality', 'Research', 'Continuous improvement', 'IEEE', 'SQL']"
Urgently Looking For Immediate joiners -Data Scientist GEN AI/BERT/NLP,Hexaware Technologies,"Hybrid - Navi Mumbai, Maharashtra, Pune, Maharashtra, Bengaluru",4-9 Yrs,"['GenAI', 'LLM', 'NLP', 'Bert', 'Azure', 'Lstm', 'Neural Networks', 'GPT']"
Data Scientist - AI/ML,Philips,Bangalore/Bengaluru,4-8 Yrs,"['EMI', 'Computer vision', 'C++', 'Image processing', 'Diagnostics', 'Healthcare', 'EMC', 'MATLAB']"
AI Data Scientist - Remote / Work from Home,ADROITENT,Remote,8-13 Yrs,"['data science', 'data preprocessing', 'python', 'R', 'data manipulation', 'SCALA', 'AI', 'algorithm development']"
MLOps Engineer | Vertex AI + ML Framework | 4 To 12 years | Pan India,Cygnus Professionals,"Hyderabad, Pune, Bengaluru",5-10 Yrs,"['Tensorflow', 'Vertex AI', 'Python', 'Numpy', 'MLOps', 'Dockers', 'Prometheus', 'Ci/Cd']"
Actively Hiring- AI & ML Specialist(Cloud Engineer/Developer-AI/ML),Insight Direct India,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",5-10 Yrs,"['Artificial Intelligence', 'azure', 'Python', 'C#', 'GenAi', 'Natural Language Processing', 'llm', 'Machine Learning']"
