Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Hiring Freshers on Cloud Computing Engineer (aws and azure),Aficionado Technologies,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-0 Yrs,"['Cloud Computing', 'Azure Iot', 'AWS', 'Devops', 'Azure Data Factory', 'Azure Active Directory', 'Cloud Services', 'Active directory']"
Developers For Privacy-Focused Cloud Computing Startup,Openstack Apps,Remote,3-7 Yrs,"['Cloud computing', 'Front end', 'Version control', 'GIT', 'Linux', 'Javascript', 'JSON', 'Virtualization']"
Cloud Devops Engineer,SUN Life Global Solutions,"Hybrid - Gurugram, Haryana",8-11 Yrs,"['Terraform', 'AWS', 'Jenkins', 'Cloud Computing', 'Aws Devops', 'IAM', 'Automation Engineering', 'Microservices']"
Contract To HIRE - AWS Cloud Security Engineer(NOT DevOps candidates),NA,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",5-8 Yrs,"['AWS security', 'Terraform', 'cloud guard', 'Security Hub', 'Splunk', 'Vulnerability Management Solutions', 'Ansible', 'CloudTrail']"
Senior AI Cloud Engineer,Nokia,Bangalore/Bengaluru,4-7 Yrs,"['Cloud computing', 'orchestration', 'Production support', 'Risk assessment', 'Machine learning', 'Agile', 'Continuous improvement', 'Virtualization']"
Cloud Telephony Engineer,Real Time Data Services,Gurgaon/Gurugram,0-3 Yrs,"['IT services', 'Cloud computing', 'VMware', 'Cloud', 'Agile', 'Telecommunication', 'After sales support', 'microsoft']"
Cloud Computing Trainer & Developer,Skynet Secure,Mumbai,2-5 Yrs,"['Computer science', 'VMware', 'Cloud computing', 'Linux', 'PAAS', 'citrix xenapp', 'google app engine', 'Windows']"
"Cloud Operations Engineer - Linux, cloud(2-15 Years)- OCI",Oracle,"Hybrid - Noida, Uttar Pradesh, Hyderabad, Telangana, Bengaluru, Karnataka",2-7 Yrs,"['Linux Administration', 'Linux System Administration', 'Cloud Infrastructure', 'Scripting', 'Terraform', 'Cloud Operations', 'Bash Scripting', 'Shell Scripting']"
Cloud Computing,NEW Generation Jobs,Bengaluru,0-2 Yrs,"['Wireless', 'VMware', 'Hibernate', 'Linux', 'WAN', 'LAN', 'DNS', 'cisco']"
Cloud DevOps Engineer - L1,Teksun,Ahmedabad,0-1 Yrs,"['Analytical skills', 'Cloud computing', 'Networking', 'GCP', 'Cloud Services', 'Cloud', 'Network security', 'TCP/IP']"
Azure Cloud Solution Architect,Tech-field,"Noida, Uttar Pradesh, Hyderabad, Telangana, Bengaluru, Karnataka",10-20 Yrs,"['Fortigate', 'Cyber Security', 'Cloud Computing', 'Fortinet', 'Azure Infrastructure', 'Powershell', 'SAAS', 'PAAS']"
Senior Software Engineer - DevOps,DANAHAR CORPORATION,Bangalore/Bengaluru,3-8 Yrs,"['Computer science', 'Cloud computing', 'Automation', 'Version control', 'GIT', 'Networking', 'devops', 'Healthcare']"
Junior Software Engineer,GoCoop Solutions and Services Private Limited,"Hyderabad/Secunderabad, Bangalore/Bengaluru",0-3 Yrs,"['Computer science', 'Cloud computing', 'Internet applications', 'PHP', 'Computation', 'Science', 'Software', 'Internet']"
Associate Cloud Operations Engineer II,Powerschool India,Bangalore/Bengaluru,2-6 Yrs,"['Cloud computing', 'Root cause analysis', 'orchestration', 'Configuration management', 'Customer support', 'Troubleshooting', 'SQL', 'System administration']"
Cloud Computing Engineer,Ipsoft,Bangalore/Bengaluru,3-6 Yrs,"['Cloud computing', 'computation', 'cloud']"
Cloud & Devops Engineer,Qualitykiosk Technologies,"Navi Mumbai, Maharashtra, Mumbai (All Areas)",4-9 Yrs,"['Terraform', 'Azure DevOps', 'Docker', 'and cloud computing', 'Computation', 'Cloud', 'Microsoft Azure', 'Cloud computing']"
Software Developer For USA Location-H1B Fresh & Transfer Visa,Owfis Jobpe Technologies,"Hyderabad, Telangana(Madhapur), Chennai, Bengaluru",0-5 Yrs,"['Azure Certified', 'Kafka', 'Devops', 'Solution Architecting', 'Aws Certified', 'C++', 'C', 'Cloud Architecture']"
Cloud Devops Engineer,Nitin Raibhoge,"Pune, Maharashtra",4-8 Yrs,"['Gcp Cloud', 'Cloud Computing', 'Bigquery', 'Cloud Platform', 'Python', 'Devops', 'Computation', 'Cloud']"
Sr. Cloud  Engineer,Digiswitch Infotech,Noida(Sector-142 Noida),1-3 Yrs,"['linux', 'Oracle cloud', 'Gcp Cloud', 'Cloud Computing', 'Oracle Cloud Infrastructure', 'Project Management', 'virtualisation layers', 'Azure Cloud Services']"
"Senior Technical Support Engineer, Alibaba Cloud",Salesforce,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-7 Yrs,"['Cloud computing', 'RDBMS', 'XML', 'Debugging', 'Open source', 'Information technology', 'Technical support', 'SQL']"
