Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Technical Support Engineer For Cognitive / AI / ML Solutions,Skillety,"Hyderabad/Secunderabad, Bangalore/Bengaluru",1-6 Yrs,"['Staffing', 'Analytical', 'Machine learning', 'Debugging', 'model development', 'microsoft azure', 'Customer service', 'Troubleshooting']"
Cognitive Science- Lecturer,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,2-4 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
Cognitive Science- Assistant Professor,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,3-6 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
Cognitive Science- Associate Professor,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,5-8 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
Cognitive Science- Professor,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,10-15 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
AI/ML Cognitive Senior Developer,CGI,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['System testing', 'Core Java', 'Application support', 'Functional testing', 'Application development', 'Selenium', 'Unit testing', 'Release management']"
IT: BlueYonder Cognitive Demand Planning Systems Analyst,Intel,Bangalore/Bengaluru,8-12 Yrs,"['User Acceptance Test', 'enterprise software', 'demand forecasting', 'operations management', 'software development', 'supply chain planning', 'product life cycle', 'software engineering']"
IT: BlueYonder Cognitive Demand Planning Systems Analyst,Intel,Bangalore/Bengaluru,8-10 Yrs,"['BLueYonder Demand Planning', 'Change management', 'Data management', 'WAN', 'Enterprise applications', 'LAN', 'JIRA', 'Information technology']"
RPA UiPath Developer - Cognitive Services,Techstar Group,Temp. WFH - Gandhinagar,2-6 Yrs,"['UiPath', 'RPA', 'Automation Anywhere', 'Cognitive Services', 'Blue Prism', 'Automation', 'Cognitive', 'Prism']"
Azure cognitive services Consultant,Leading Client,"Bangalore/Bengaluru, Karnataka",8-13 Yrs,"['Azure', 'Java', 'generative AI', 'Spingboot', 'AI', 'Azure Cognitive Services', 'Microservices', 'Consulting']"
Cognitive Implementation Engineer,Amelia,Bangalore/Bengaluru,2-5 Yrs,"['Automation', 'Tomcat', 'Linux', 'Solaris', 'JBoss', 'Weblogic', 'MySQL', 'Javascript']"
Senior Executive - Cognitive Assessment,Mettl,Gurgaon/Gurugram,2-3 Yrs,"['Content management', 'Networking', 'Relationship building', 'NDA', 'Subject Matter Expert', 'Management', 'Research', 'Client management']"
AI & Cognitive Aspirants,Times World Information Technology,"Kochi/Cochin, Thrissur/Trichur, Calicut/Kozhikode, Trivandrum/Thiruvananthapuram",1-4 Yrs,"['Data management', 'Information security', 'ISO 27001', 'Machine learning', 'Business intelligence', 'Information technology', 'Internship', 'Analytics']"
Actively Hiring- AI & ML Specialist(Cloud Engineer/Developer-AI/ML),Insight Direct India,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",5-10 Yrs,"['Artificial Intelligence', 'azure', 'Python', 'C#', 'GenAi', 'Natural Language Processing', 'llm', 'Machine Learning']"
MS Azure bot development,Cognizant,"Hyderabad, Telangana, Pune, Maharashtra, Bengaluru, Karnataka",3-8 Yrs,"['Azure Bot Service', 'JAVA/J2EE', 'Artificial Intelligence', 'JSP', 'Core Java', 'Azure Cognitive services Artificial intelligence', 'CI/CD', 'Conversational AI']"
Azure AI Development Lead,Vichara Technologies,"Hybrid - Indore, Hyderabad/Secunderabad, Pune, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)",4-9 Yrs,"['Net Mvc', 'Artificial Intelligence', 'Azure OpenAI', 'Azure open AI', 'Azure Cognitive Services', 'Cognitive Services', 'Azure Search', 'Chatbot']"
AI/ML Engineer with azure | product based client,NLB Services,"Hybrid - Hyderabad, Bengaluru",2-7 Yrs,"['Data Science', 'Azure Machine Learning', 'Machine Learning', 'artificial intelligence', 'Azure Cognitive Services', 'Machine Learning Algorithms', 'Ml Algorithms', 'Deep Learning']"
Digital Marketer,Cognitive Revolutions,"Chandigarh, Chandigarh",1-2 Yrs,"['Online Advertising', 'Digital Advertising', 'Google AdWords', 'Social Media Marketing', 'SEO', 'Content Writing', 'Google', 'Digital marketing']"
Remote Pre-Sales Engineer-Data & AI,"Cognitive Bi, Inc",Remote,5-7 Yrs,"['Presales', 'Presales Support', 'IT Consulting', 'Sales Support', 'Presales Consulting', 'Sales Consulting', 'Sales', 'Remote']"
Tech Lead / Architect - Full stack,Cognitive Navigation,Mumbai,8-10 Yrs,"['Computer science', 'NoSQL', 'Lead Architect', 'RDBMS', 'MySQL', 'DNS', 'Application development', 'Customer support']"
