Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Education Counsellor,IMS Learning Resources,"Navi Mumbai, Maharashtra, Mumbai (All Areas)(Sector 26 Vashi +1)",0-1 Yrs,"['presentation skills', 'communication skills', 'Education counseling', 'Counselling', 'Presentation', 'Education']"
Tele Caller/Tele Counsellor /Education Counsellor/Career Adviser,Klick Media Labs,Panchkula,0-1 Yrs,"['Social media', 'Media management', 'Education Counsellor', 'Tele Counsellor', 'Counselling', 'Tele Caller', 'Advising', 'Management']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Akash Institute of Medical Science and Research Centre,"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Sales Education Counselor,Building Blocks Learning Solution,New Delhi,0-1 Yrs,"['Communication', 'Excellent Communication Skills', 'sales process', 'sales', 'Communication skills', 'Counselling', 'Process', 'Education']"
"Education Counsellor, Academic Coordinator, Mumbai, Andheri (East)",The Hr Bulb,,,"['client servicing', 'education counseling', 'Admission Counselling', 'client success', 'Edtech', 'Career Counselling', 'Educational Marketing', 'Student Counseling']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education counselor(MBA/PGDM),Affinity Education,Noida(Sector-16 Noida),0-4 Yrs,"['counselling', 'Counselling skills', 'Creative Skills', 'Analytical thinking', 'Good listener', 'Good Comm Skills', 'Problem Analysis', 'Leadership Skills']"
"Education Counsellor, Academic Coordinator, NSP, Pitampura",The Hr Bulb,"New Delhi, Delhi(Netaji Subhash Place)",0-5 Yrs,"['client servicing', 'education counseling', 'Admission Counselling', 'client success', 'Edtech', 'Career Counselling', 'Educational Marketing', 'Student Counseling']"
Education Coach,Xseed Education,Hyderabad/Secunderabad,3-5 Yrs,"['Primary Teaching', 'Teaching', 'teaching strategies', 'classroom management', 'coaching sessions', 'professional development', 'Education', 'Management']"
Education Counsellor,IT Education Center,Pune,1-5 Yrs,"['counselling', 'lead generation', 'admissions', 'communication skills', 'Admission Counselling', 'Educational Sales', 'written communication', 'education counseling']"
Education Counsellor @Baner,Infinikey,Pune,0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor,Uncodemy,"Noida, Uttar Pradesh, Ghaziabad, Uttar Pradesh, Delhi / NCR",0-5 Yrs,"['IT Training', 'Education Counseling', 'Admission Counselling', 'Student Counseling', 'Individual and Group Counseling', 'Educational Sales', 'Academic Advising', 'Sales']"
Education Counsellor @Baner,MIT,Pune,0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor @MIT Alandi,Mit,Pune(Alandi),0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor,Itprenure Edutech,Pune,0-5 Yrs,"['Inbound Process', 'Bpo Customer Service', 'Voice Support', 'Bpo Voice', 'Customer Care', 'BPO', 'Inbound Sales', 'Telesales']"
Educational Counselor - (Education Industry ),Siec Education,"New Delhi, Delhi(B 2B Block Janakpuri)",0-2 Yrs,"['Councellor', 'Counselling', 'Admission Counselling', 'Education Counseling', 'Visa Counselling', 'MS Office', 'Computer Skills', 'English Language']"
Education Counsellor,Pradhyanam Education,"Noida, Uttar Pradesh(Sector-16 Noida), Greater Noida, Uttar Pradesh, Delhi / NCR",0-3 Yrs,"['Student Counseling', 'Admission Counselling', 'Communication Skills', 'Pressure Handling', 'Convincing Power', 'Cold Calling', 'Inside Sales', 'Business Development']"
Professor / Associate Professor / Asst. Professor Education,LPU,"Phagwara, Punjab",0-5 Yrs,"['Professor Activities', 'University Teaching', 'Education', 'Associate Professor', 'Assistant Professor', 'Teaching', 'Assistance']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
