Job_Title,Company_name,Job_location,Company_Experience,Job_skills
IoT (Internet of Things) Engineer,Fardha Infotech,Hyderabad/Secunderabad,2-6 Yrs,"['System architecture', 'Communication protocols', 'Machine learning', 'Architectural design', 'Cloud', 'System design', 'Hardware', 'Data analytics']"
Azure IoT Developer - Stream Analytics,CARBYNETECH,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-10 Yrs,"['Azure', 'C#', 'NoSQL', 'IoT Hub', 'Cloud Services', 'RDBMS', 'Azure Functions', 'Event Hub']"
SE - IoT Developer,Renault,Chennai,6-7 Yrs,"['RED', 'activemq', 'tableau', 'Linux', 'Cloud Services', 'power bi', 'AWS', 'Python']"
IoT Developer (Edge),Legalwings24.com,Bangalore/Bengaluru,3-8 Yrs,"['C language', 'embedded device driver development', 'multithreading', 'firmware', 'RTOS', 'MQTT', 'Azure', 'IoT hardware platforms']"
IOT Architech,Terragig Llp,Bengaluru,7-12 Yrs,"['Cloud Architecture', 'Cloud Server', 'IOT Architech', 'Market Segmentation', 'IOT', 'Cloud', 'Segmentation', 'Server']"
Azure IOT Developer,P.S International,"Noida, Uttar Pradesh, Bhubaneswar, Odisha, Madurai, Tamil Nadu, Pune, Maharashtra, Coimbatore, Tamil Nadu, Bengaluru, Karnataka",5-9 Yrs,"['Backend', 'Azure IOT Developer', 'UI', 'Azure Cloud', 'Azure IOT', 'C#', 'Front End', 'edge and cloud integration']"
Architect - IoT Delivery,Pepsi Foods,Hyderabad/Secunderabad,15-17 Yrs,"['Product training', 'Project management', 'Analytical', 'Relationship building', 'Manager Technology', 'Transition', 'Account management', 'Customer support']"
IoT Engineer (Water),Shubh Consultants And Technocrats,Bangalore/Bengaluru,4-8 Yrs,"['Water', 'IoT Engineer', 'Iot Application Development', 'water sector', 'Water System', 'water management', 'Water Treatment Plant', 'Water Supply']"
Senior IoT Embedded QA Engineer,Manpowergroup Services India,"Coimbatore, Tamil Nadu",4-9 Yrs,"['Jenkins', 'Device Testing', 'IoT Embedded', 'Robot Framework', 'Iot Testing', 'IoT products', 'Pytest', 'Robot']"
IoT/Embedded Security Engineer,VDart Software Services,Hybrid - Bengaluru,5-10 Yrs,"['Embedded Systems', 'IOT', 'MQTT', 'Reverse engineering ARM/MIPS/x86 code architecture', 'JTAG', 'CoAP', 'I2C', 'Security']"
Senior IoT Embedded QA Engineer,Leading Client of Manpower,"Coimbatore, Tamil Nadu",4-9 Yrs,"['testing', 'Embedded Testing', 'Device Testing', 'Test Engineering', 'System Testing', 'Embedded Software Testing', 'IOT', 'IOT Embedded']"
QE Specialist - iOT,Lennox India Technology Centre (LITC),Chennai,3-6 Yrs,"['Automation', 'Manager Quality Assurance', 'Test scripts', 'Testing tools', 'Compatibility testing', 'Agile', 'Ventilation', 'Selenium']"
QE Specialist - iOT,Lennox India Technology Centre (LITC),Chennai,3-6 Yrs,"['Automation', 'Manager Quality Assurance', 'Test scripts', 'Testing tools', 'Compatibility testing', 'Agile', 'Ventilation', 'Selenium']"
IOT Embedded Engineer,Detailing Devils,"Noida, Uttar Pradesh",2-5 Yrs,"['Real-time Operating Systems RTOS', 'Embedded Systems', 'Low-Power Design', 'Firmware Development', 'IoT Protocols MQTT CoAP', 'Sensor Integration', 'Wireless Communication Bluetooth WiFi Zigbee', 'Microcontrollers Arduino Raspberry Pi STM32']"
Senior IOT Developer,Vishanz Business Services,Chennai,2-4 Yrs,"['IOT', 'AWS', 'Mqtt', 'RTOS', 'PCB Designing', 'Bluetooth', 'Raspberry Pi', 'Websocket']"
IoT Developer,Zenindo Solutions,Hyderabad/Secunderabad,3-6 Yrs,"['Prototype', 'C', 'Cloud', 'Electronics', 'Development', 'IOT']"
Lead IOT Developers,Aimlytics Technologies,Hyderabad,6-8 Yrs,"['TCP', 'Wireless', 'Core Java', 'Eclipse', 'MySQL', 'Ethernet', 'Network security', 'Firmware']"
IoT SDK and Platform Developer,Elear Solutions And Detect Technologies,Hyderabad/Secunderabad,2-7 Yrs,"['Application Development', 'Java', 'Software Development', 'Design Patterns', 'C + +', 'Ui Development', 'Swift', 'Ios']"
Embedded iOT Developer,Coders Brain Pvt Ltd,Hyderabad/Secunderabad,5-8 Yrs,"['TCP', 'RTOS', 'FTP', 'IPV6', 'SOC', 'HTTP', 'Customer support', 'Firmware']"
IoT Developer,Yash Computech,Indore,0-2 Yrs,"['Backend', 'Embedded systems', 'Networking protocols', 'Skill development', 'PDF', 'Cloud Services', 'Firmware development', 'Programming']"
