Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Incident Manager,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Cloud', 'Manager Technology', 'Quality analysis', 'digital transformation', 'Technology', 'Analysis', 'Technology management', 'Digital']"
Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['IntelliJ', 'spring boot', 'github', 'GCP', 'Eclipse', 'Cloud', 'Agile', 'Windows']"
Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['Business process', 'Process design', 'SAP ERP', 'Sales', 'Billing', 'Integration testing', 'Agile', 'Agile methodology']"
Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['spring boot', 'Spring framework', 'GCP', 'Analytical', 'Agile', 'Programming', 'jenkins', 'splunk']"
Senior Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-5 Yrs,"['github', 'TDD', 'Analytical', 'Integration testing', 'Agile', 'JSON', 'test driven development', 'Troubleshooting']"
Technical Lead I - PostgreSQL,Citiustech,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",4-9 Yrs,"['Unix', 'Performance tuning', 'Linux', 'Coding', 'Postgresql', 'Database', 'Infrastructure', 'Technical Lead']"
Qliksense Developer,Capco,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-8 Yrs,"['SAS', 'Enterprise architecture', 'Analytical', 'Agile', 'Asset management', 'QlikView', 'Risk management', 'Financial services']"
BA-Payment Professional,Capco,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['ISO', 'Payment systems', 'SEPA', 'Management consulting', 'Test scenarios', 'Test cases', 'Financial services', 'SDLC']"
VM operations Expert Engineer,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Unix', 'PCI DSS', 'Linux', 'Risk assessment', 'HIPAA', 'Nessus', 'Windows', 'Vulnerability management']"
Product Line Anchor,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-7 Yrs,"['Usage', 'pricing analysis', 'Architecture', 'Coding', 'GCP', 'Focus', 'Agile', 'Manager Technology']"
Abinitio Developer,Capgemini,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-9 Yrs,"['ab initio', 'gde', 'unix', 'Initio', 'Development', 'Ab']"
Network Security Sr Engineer,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['GSM', 'ISO', 'HIPAA', 'VOIP', 'Network security', 'Project planning', 'Vulnerability assessment', 'Firewall']"
"Software Engineering (Full Stack, GCP, DB, Qlik, API)",Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,"['Automation', 'Postgresql', 'Web development', 'Agile', 'Pega', 'Informatica', 'Release management', 'Analytics']"
Business Intelligence Developer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-5 Yrs,"['JCL', 'Data analysis', 'jQuery', 'FTP', 'Coding', 'HTML', 'Data analytics', 'Business intelligence']"
"Lead MTS, Software Engineering, Heroku",Salesforce,"Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",5-9 Yrs,"['Performance tuning', 'Automation', 'Postgresql', 'Debugging', 'Monitoring', 'SQL', 'CRM', 'Python']"
GRC CONSULTANT,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['Cism', 'Cisa', 'ISO 20000', 'Coding', 'Information security', 'Consulting', 'Active directory', 'Security testing']"
Cyber Risk & Compliance Professional,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-12 Yrs,"['Cism', 'Cisa', 'Coding', 'Information security', 'Consulting', 'Disaster recovery', 'Active directory', 'Incident management']"
Software Engineering,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,"['Automation', 'Postgresql', 'Web development', 'Agile', 'Pega', 'Informatica', 'Release management', 'Analytics']"
Software Engineer-HTHD,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['Order management', 'Web application development', 'Software design', 'Front end', 'TDD', 'GCP', 'Agile', 'test driven development']"
Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['Maven', 'continuous integration', 'GCP', 'JSP', 'Exploratory testing', 'Agile', 'HTML', 'Adobe']"
