Job_Title,Company_name,Job_location,Company_Experience,Job_skills
"Manager I, ML Data Operations",Amazon,"Hyderabad, Telangana",4-9 Yrs,"['Data Operations', 'Machine Learning', 'Operations Management', 'Workforce Management', 'Machine Programming', 'People Management', 'Machine', 'Data Operation']"
Artificial Intelligence/Machine Learning Engineer - NLP,EzeiaTech,Gurgaon/Gurugram,1-5 Yrs,"['Artificial Intelligence', 'NLP', 'Tensorflow.deep learning framework', 'Machine Learning', 'Deep Learning', 'Python', 'Natural language processing', 'Machine']"
Senior Machine Learning Engineer - ( AI / ML Team ),Discovery Communications,Bangalore/Bengaluru,5-8 Yrs,"['Machine Learning', 'Golang', 'Java', 'algorithms', 'configuration', 'Scala', 'data verification', 'A/B testing']"
Machine learning engineer,Trask,Bangalore/Bengaluru,2-5 Yrs,"['deep learning', 'C++', 'Medical devices', 'data science', 'Artificial Intelligence', 'Machine learning', 'Data structures', 'Natural language processing']"
Machine Learning - Staff Engineer,"Qualcomm Technologies, Inc",Bangalore/Bengaluru,5-7 Yrs,"['RTOS', 'C++', 'Software design', 'Lead Software', 'Linux', 'USB', 'SPI', 'Automotive']"
Staff SW Engineer - Machine Learning Accelerator,"Qualcomm Technologies, Inc",Bangalore/Bengaluru,8-9 Yrs,"['RTOS', 'Computer science', 'C++', 'Linux', 'UML', 'SOC', 'Configuration management', 'Machine learning']"
Data Scientist - Machine Learning / APICS,CARBYNETECH,Hyderabad/Secunderabad,3-8 Yrs,"['Machine Learning', 'Data Science', 'R', 'NLP', 'Neural networks', 'Artificial Intelligence', 'Deep Learning', 'Python']"
Senior Data Scientist - Artificial Intelligence / Machine Learning,Leading Client,Mumbai,10-12 Yrs,"['Artificial Intelligence', 'MLOps', 'Supply Chain Analytics', 'Operational Analytics', 'ML algorithms', 'Price Optimization', 'Machine Learning', 'Google Cloud']"
Senior Data Scientist - Machine Learning / Artificial Intelligence,Leading Client,Mumbai,10-12 Yrs,"['Supply Chain Analytics', 'R', 'MLOps', 'Data Scientist', 'Artificial Intelligence', 'Data Visualization', 'Regression Modeling', 'Machine Learning']"
Machine Learning Engineer,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,2-4 Yrs,"['Electrical engineering', 'Computer science', 'Computer vision', 'C++', 'Usage', 'Coding', 'Staffing', 'Machine learning']"
"Data Expert ( Generative AI ) - Machine Learning, BI, ETL",IT Services & Consulting,Bangalore/Bengaluru,15-20 Yrs,"['Generative AI', 'Business intelligence', 'ETL', 'Machine Learning', 'metadata', 'NLP', 'Elasticsearch', 'Master Data Management']"
Machine Learning Engineer - Deep Learning,Forward eye technologies,Bangalore/Bengaluru,8-12 Yrs,"['Machine Learning', 'Data Science', 'Data Version Control', 'Apache Airflow', 'NLP', 'Git', 'data manipulation', 'Artificial Intelligence']"
Staff Machine Learning Engineer - ( AI / ML Team ),Discovery Communications,Bangalore/Bengaluru,9-13 Yrs,"['Machine Learning', 'metadata', 'LSTM', 'NLP', 'Scala', 'computer vision', 'Deep Learning', 'Python']"
AM - Data Science ( Machine learning ),Leading consulting firm,"Hybrid - Pune, Bangalore Rural, Karnataka",7-10 Yrs,"['Machine learning', 'SQL.', 'Python', 'Machine', 'Science', 'SQL', 'Data', 'Ams']"
Data Scientist - Machine Learning,Digit Insurance,Bengaluru,5-8 Yrs,"['deep learning', 'data analysis using SQL.', 'Machine Learning', 'FastAPI/Flask', 'Python', 'Analysis', 'Data analysis', 'Data']"
Machine Learning Engineer,GrayMatter,Hybrid - Bengaluru,4-8 Yrs,"['Pyspark', 'Github', 'Azure Databricks', 'Machine Learning', 'Python', 'Machine', 'Microsoft Azure']"
Machine Learning Engineer - Fintech (3+ years),Crescendo Global Leadership Hiring India,Remote,3-8 Yrs,"['Deployment', 'Machine Learning', 'Python', 'Data Science', 'Predictive Modeling', 'Docker', 'Kubernetes', 'Science']"
Senior Analyst (ML) / Machine Learning Engineer,Tiger Analytics,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['python', 'ML Ops', 'Machine Learning', 'gcp', 'Deployment', 'AWS', 'Ml Pipelines', 'azure']"
Machine Learning Operations Engineer (MLOps),Openprovider,Mumbai,2-3 Yrs,"['Automation', 'Linux', 'GCP', 'Cloud Services', 'Invoice processing', 'ISO 27001', 'Machine learning', 'TCP/IP']"
Machine Learning Engineer / Data Scientist,Delta Hr Consultancy,Hybrid - Pune,5-9 Yrs,"['deep learning', 'python', 'tensorflow', 'nlp', 'Machine Learning', 'Linux', 'Pandas', 'keras']"
Data Scientist-Machine Learning,Loyalytics Consulting,Bangalore/Bengaluru,3-7 Yrs,"['IT services', 'Data analysis', 'data science', 'Analytical', 'Consulting', 'Machine learning', 'Digital marketing', 'Forecasting']"
