Job_Title,Company_name,Job_skills,Job_location,Company_Experience
Walkin Drive - Medical Representative in Lupin Pharma in Mumbai,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
"Medical Coding Job For Pharma,Pharmacist, Pharmacy,b pharm,M Pharm,D P",Achievers Spot,"['B.Pharm', 'M.Pharm', 'Pharmacy', 'D.pharm', 'Pharm D', 'Dietetics', 'Biotechnology', 'Medical Microbiology']","Chennai, Tiruchirapalli/Trichy, Erode",0-3 Yrs
Medical Representative,Pharma MNC company,"['Pharma sales', 'Communication Skills', 'Area Sales', 'Sales', 'Medical', 'Pharmaceutical', 'Pharma selling']",Hyderabad,2-5 Yrs
"Regulatory Affairs Executive/Manager - Pharma Formulation, Navi Mumbai",Pharma Companies,"['Regulatory Affairs', 'RA', 'Row Market', 'Europe', 'Formulation', 'Row', 'Pharmaceutical', 'Regulatory']","Navi Mumbai, Maharashtra",6-10 Yrs
Medical Sales Representative/Pharma Selling,Digifocal It,"['Medical Sales Representative', 'Pharma', 'Healthcare', 'Pharma selling', 'Scheduling', 'Research', 'Recruitment', 'Medical Sales']","Mumbai, Indore",0-3 Yrs
Medical Representative,Pharma MNC company,"['Communication Skills', 'Pharmaceutical Sales', 'Therapy', 'Area Sales', 'Pharmaceutical', 'Sales', 'Medical']",Mumbai (All Areas),2-5 Yrs
Medical Representative(Cardioology Pharma Sales) in Baroda,Gadgeon Smart Systems,"['medical representative', 'cardiology', 'marketing', 'sales', 'neurology', 'Pharmaceutical', 'Medical', 'Pharma selling']",Vadodara,1-6 Yrs
Medical Representative,pharma company,"['Pediatrics', 'Medical Sales', 'MR', 'Pharmaceutical Sales', 'Pharma Selling', 'Medical Rep', 'Gynecology', 'Medical']","New Delhi, Delhi",1-6 Yrs
Pharmacist / Pharma Fresher,Zeelab Pharmacy,"['Good Communication Skills', 'Diploma or degree in pharamcy', 'Communication skills', 'Pharmaceutical', 'Pharmacy']",Mumbai (All Areas)(Mira Bhayandar +2),0-5 Yrs
Medical Representative,Pharma Companies,"['Sales And Marketing', 'Medical Sales', 'Pharmaceutical Sales', 'Pharmaceutical', 'Sales', 'Sales', 'Marketing', 'Medical']","Nagercoil, Tamil Nadu, Thrissur, Kerala, Thiruvalla, Kerala",0-2 Yrs
Medical Representative,Pharma Companies,"['Sales And Marketing', 'Medical Sales', 'Pharmaceutical Sales', 'Pharmaceutical', 'Sales', 'Sales', 'Marketing', 'Medical']","Kochi, Kerala, Mangaluru, Karnataka, Thiruvananthapuram, Kerala",0-2 Yrs
"Medical Coding Job For Pharma,Pharmaceutical,Pharmacist, Pharmacy grad",AS Medical Coding Technologies,"['m.pharm', 'd.pharm', 'pharm d', 'b.pharm', 'Nursing', 'Biotechnology', 'Microbiology', 'Zoology']","Madurai, Chennai, Coimbatore",0-2 Yrs
Medical Representative | Top Pharma MNC,MyRCloud (Reccloud Technologies Private Limited),"['Pharma Selling', 'Medical Rep', 'Medical Sales', 'MR', 'Medical Representative', 'Pharma Marketing', 'TBM', 'Pharmaceutical Sales']","Udaipur, Rajasthan, Churu, Rajasthan, Ajmer, Rajasthan",1-6 Yrs
