Job_Title,Company_name,Job_location,Company_Experience,Job_skills
AI Data Scientist,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-6 Yrs,"['Computer science', 'Text mining', 'deep learning', 'C++', 'Linux', 'Machine learning', 'Sensors', 'Research']"
"Lead Data Scientist-NLP,Generative AI",Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10 Yrs,"['Text mining', 'Logistic regression', 'Operations research', 'Image processing', 'Analytical', 'linear regression', 'Forecasting', 'Analytics']"
Lead Data Science Engineer (Gen AI),Xoriant,Pune,9-11 Yrs,"['Computer science', 'Data analysis', 'data science', 'Project management', 'Machine learning', 'Technical leadership', 'Natural language processing', 'data privacy']"
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,Hyderabad/Secunderabad,10-12 Yrs,"['deep learning', 'Enterprise architecture', 'Neural networks', 'Machine learning', 'Natural language processing', 'Translation', 'Web technologies', 'SQL database']"
Data Science Consultant - AI Product Manager,Dell Technologies,Bangalore/Bengaluru,12-16 Yrs,"['Data Science', 'Product Management', 'data modelling', 'Machine learning', 'ETL', 'AWS', 'artificial intelligence', 'Deep Learning']"
AI/ Machine Learning Engineer,Jaia Tech Ventures Llp,Bengaluru(Whitefield),0-3 Yrs,"['Artificial Intelligence', 'Machine Learning', 'Troubleshooting Skills', 'Statistical Analyses', 'Data Processing', 'Python Development', 'Proficiency in programming languages', 'R Program']"
Data Science DevOps Engineer - AI product,RandomT,Bangalore/Bengaluru,6-11 Yrs,"['data devops', 'python', 'demand forecasting', 'java', 'git', 'data science', 'terraform', 'aws']"
Generative AI Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-10 Yrs,"['Computer science', 'Cloud computing', 'deep learning', 'Neural networks', 'Artificial Intelligence', 'Machine learning', 'Architectural design', 'Programming']"
Internship - AI Engineer,Viga Entertainment Technology,Bangalore/Bengaluru,,
Machine Learning Operations-AI Platform Engineer,Accenture,Bangalore/Bengaluru,2-5 Yrs,"['deep learning', 'Neural networks', 'Machine learning', 'Natural language processing', 'artificial intelligence', 'Machine', 'Process', 'Processing']"
Data Scientist I,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-4 Yrs,"['Computer science', 'Training', 'deep learning', 'C++', 'Quality improvement', 'Machine learning', 'Data structures', 'Deployment']"
Urgently Looking For Immediate joiners -Data Scientist GEN AI/BERT/NLP,Hexaware Technologies,"Hybrid - Navi Mumbai, Maharashtra, Pune, Maharashtra, Bengaluru",4-9 Yrs,"['GenAI', 'LLM', 'NLP', 'Bert', 'Azure', 'Lstm', 'Neural Networks', 'GPT']"
Senior Engineer - AI ML,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,2-5 Yrs,"['Computer science', 'C++', 'Staffing', 'Debugging', 'Algorithm development', 'System design', 'Troubleshooting', 'Application software']"
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,Bangalore/Bengaluru,5-10 Yrs,"['Backend', 'Front end', 'Coding', 'Data mining', 'Python', 'deep learning', 'Statistical modeling', 'Neural networks']"
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,Bangalore/Bengaluru,10-12 Yrs,"['Natural Language Processing', 'deep learning', 'Translation', 'Usage', 'Web technologies', 'SQL database', 'Enterprise architecture', 'Neural networks']"
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,Bangalore/Bengaluru,5-10 Yrs,"['deep learning', 'Enterprise architecture', 'Neural networks', 'Machine learning', 'Natural language processing', 'Translation', 'Web technologies', 'Process']"
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,Bangalore/Bengaluru,10-12 Yrs,"['deep learning', 'Enterprise architecture', 'Neural networks', 'Machine learning', 'Natural language processing', 'Translation', 'Web technologies', 'Process']"
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,Bangalore/Bengaluru,12-14 Yrs,"['deep learning', 'Translation', 'Web technologies', 'Neural networks', 'Natural language processing', 'lstm', 'nlp', 'rnn']"
AI Analyst,Level Ai,Remote,0-2 Yrs,"['deep learning', 'Data analysis', 'Usage', 'Statistical analysis', 'Quantitative research', 'Business analysis', 'Enterprise applications', 'Information retrieval']"
Data Scientist - Generative AI & LLM,APPLIED INFORMATION SCIENCES (AIS),Hyderabad,25-31 Yrs,"['Data Science', 'Ai Platform', 'Machine Learning', 'Data', 'Science', 'Artificial Intelligence', 'Machine']"
AI/ML Engineer,Quadrasystems.Net,Coimbatore,0-3 Yrs,"['software architecture', 'Statistical analysis', 'data science', 'Data modeling', 'Analytical', 'Machine learning', 'Data structures', 'Statistics']"
AI Engineer,EA Games (Electronic Arts),Hyderabad/Secunderabad,2-5 Yrs,"['Statistical programming', 'C++', 'Machine learning', 'Javascript', 'data visualization', 'Data mining', 'Information technology', 'SQL']"
Lead Data Scientist,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Pilot', 'Prototype', 'Simulation', 'data science', 'Machine learning', 'Mentor', 'Management', 'Operations']"
Job || Data Scientist/Generative AI || Remote,Media Guru,Remote,7-10 Yrs,"['Python', 'Data Science', 'Generative AI', 'Algorithms', 'Artificial Intelligence', 'Django', 'LLM', 'Machine Learning']"
AI / ML developer with Python,Quantilus,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",5-10 Yrs,"['pandas', 'deep learning', 'python', 'tensorflow', 'seaborn', 'scikit-learn', 'machine learning', 'Artificial Intelligence']"
AWS AI/ML Ops Senior Engineer,PwC Service Delivery Center,Mumbai,4-8 Yrs,"['deep learning', 'NoSQL', 'Machine learning', 'Data collection', 'Manager Technology', 'Architecting', 'Management', 'AWS']"
Lead AI Architect,IBM,"Mumbai, Bangalore/Bengaluru",12-15 Yrs,"['System integration', 'Agile', 'Open source', 'analytics', 'Microsoft Azure Open AI', 'Artificial Intelligence', 'Stakeholder management', 'Operations']"
Data Scientist - AI/ML,Philips,Bangalore/Bengaluru,4-8 Yrs,"['EMI', 'Computer vision', 'C++', 'Image processing', 'Diagnostics', 'Healthcare', 'EMC', 'MATLAB']"
Artificial Intelligence (AI) Researchers and Developers,Meslova Systems,"Hyderabad, Bengaluru, Delhi / NCR",2-5 Yrs,"['Tensorflow', 'Opencv', 'Artificial Intelligence', 'Machine Learning', 'Scikit-Learn', 'Apache Karaf', 'Django', 'Statistical Modeling']"
