Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Cloud Computing Developer II,Bms Chemicals,Hyderabad/Secunderabad,5-6 Yrs,"['Linux', 'Networking', 'Coding', 'Javascript', 'Agile', 'Network security', 'Perl', 'Windows']"
Hiring Freshers on Cloud Computing Engineer (aws and azure),Aficionado Technologies,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-0 Yrs,"['Cloud Computing', 'Azure Iot', 'AWS', 'Devops', 'Azure Data Factory', 'Azure Active Directory', 'Cloud Services', 'Active directory']"
Developers For Privacy-Focused Cloud Computing Startup,Openstack Apps,Remote,3-7 Yrs,"['Cloud computing', 'Front end', 'Version control', 'GIT', 'Linux', 'Javascript', 'JSON', 'Virtualization']"
Cloud Devops Engineer,SUN Life Global Solutions,"Hybrid - Gurugram, Haryana",8-11 Yrs,"['Terraform', 'AWS', 'Jenkins', 'Cloud Computing', 'Aws Devops', 'IAM', 'Automation Engineering', 'Microservices']"
Cloud Telephony Engineer,Real Time Data Services,Gurgaon/Gurugram,0-3 Yrs,"['IT services', 'Cloud computing', 'VMware', 'Cloud', 'Agile', 'Telecommunication', 'After sales support', 'microsoft']"
Contract To HIRE - AWS Cloud Security Engineer(NOT DevOps candidates),NA,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",5-8 Yrs,"['AWS security', 'Terraform', 'cloud guard', 'Security Hub', 'Splunk', 'Vulnerability Management Solutions', 'Ansible', 'CloudTrail']"
Google Cloud Compute Services-Application Support Engineer,Accenture,Coimbatore,2-5 Yrs,"['Application support', 'Linux', 'Troubleshooting', 'Capacity planning', 'continuous integration', 'github', 'GCP', 'Performance analysis']"
Cloud Computing Trainer & Developer,Skynet Secure,Mumbai,2-5 Yrs,"['Computer science', 'VMware', 'Cloud computing', 'Linux', 'PAAS', 'citrix xenapp', 'google app engine', 'Windows']"
Senior AI Cloud Engineer,Nokia,Bangalore/Bengaluru,4-7 Yrs,"['Cloud computing', 'orchestration', 'Production support', 'Risk assessment', 'Machine learning', 'Agile', 'Continuous improvement', 'Virtualization']"
Senior Software Engineer (Droplet),"DigitalOcean, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-2 Yrs,"['Cloud computing', 'Agile', 'Troubleshooting', 'Open source', 'Distribution system', 'Ruby', 'Virtualization', 'VMS']"
