Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Technical Support Engineer For Cognitive / AI / ML Solutions,Skillety,"Hyderabad/Secunderabad, Bangalore/Bengaluru",1-6 Yrs,"['Staffing', 'Analytical', 'Machine learning', 'Debugging', 'model development', 'microsoft azure', 'Customer service', 'Troubleshooting']"
Cognitive Science- Lecturer,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,2-4 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
Cognitive Science- Assistant Professor,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,3-6 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
Cognitive Science- Associate Professor,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,5-8 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
Cognitive Science- Professor,International Institute of Information Technology Hyderabad (IIITH),Hyderabad,10-15 Yrs,"['Counselor', 'Mentor', 'Trainer', 'Advisor', 'Educator', 'Teaching', 'advisory', 'mentoring']"
AI/ML Cognitive Senior Developer,CGI,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['System testing', 'Core Java', 'Application support', 'Functional testing', 'Application development', 'Selenium', 'Unit testing', 'Release management']"
IT: BlueYonder Cognitive Demand Planning Systems Analyst,Intel,Bangalore/Bengaluru,8-12 Yrs,"['User Acceptance Test', 'enterprise software', 'demand forecasting', 'operations management', 'software development', 'supply chain planning', 'product life cycle', 'software engineering']"
IT: BlueYonder Cognitive Demand Planning Systems Analyst,Intel,Bangalore/Bengaluru,8-10 Yrs,"['BLueYonder Demand Planning', 'Change management', 'Data management', 'WAN', 'Enterprise applications', 'LAN', 'JIRA', 'Information technology']"
RPA UiPath Developer - Cognitive Services,Techstar Group,Temp. WFH - Gandhinagar,2-6 Yrs,"['UiPath', 'RPA', 'Automation Anywhere', 'Cognitive Services', 'Blue Prism', 'Automation', 'Cognitive', 'Prism']"
Cognitive Implementation Engineer,Amelia,Bangalore/Bengaluru,2-5 Yrs,"['Automation', 'Tomcat', 'Linux', 'Solaris', 'JBoss', 'Weblogic', 'MySQL', 'Javascript']"
Senior Executive - Cognitive Assessment,Mettl,Gurgaon/Gurugram,2-3 Yrs,"['Content management', 'Networking', 'Relationship building', 'NDA', 'Subject Matter Expert', 'Management', 'Research', 'Client management']"
AI & Cognitive Aspirants,Times World Information Technology,"Kochi/Cochin, Thrissur/Trichur, Calicut/Kozhikode, Trivandrum/Thiruvananthapuram",1-4 Yrs,"['Data management', 'Information security', 'ISO 27001', 'Machine learning', 'Business intelligence', 'Information technology', 'Internship', 'Analytics']"
Cognizant hiring For MS Azure Bot Developer,Cognizant,"Hyderabad, Telangana, Bangalore Rural, Karnataka, Chennai, Tamil Nadu",3-8 Yrs,"['Azure Bot Service', 'Azure Cognitive services', 'Microsoft Bot Framework', 'MS Azure', 'Microsoft Azure', 'Microsoft', 'Bot', 'Development']"
Actively Hiring- AI & ML Specialist(Cloud Engineer/Developer-AI/ML),Insight Direct India,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",5-10 Yrs,"['Artificial Intelligence', 'azure', 'Python', 'C#', 'GenAi', 'Natural Language Processing', 'llm', 'Machine Learning']"
Azure AI Development Lead,Vichara Technologies,"Hybrid - Indore, Hyderabad/Secunderabad, Pune, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)",4-9 Yrs,"['Net Mvc', 'Artificial Intelligence', 'Azure OpenAI', 'Azure open AI', 'Azure Cognitive Services', 'Cognitive Services', 'Azure Search', 'Chatbot']"
AI/ML Engineer with azure | product based client,NLB Services,"Hybrid - Hyderabad, Bengaluru",2-7 Yrs,"['Data Science', 'Azure Machine Learning', 'Machine Learning', 'artificial intelligence', 'Azure Cognitive Services', 'Machine Learning Algorithms', 'Ml Algorithms', 'Deep Learning']"
MS Azure bot development,Cognizant,"Hyderabad, Telangana, Pune, Maharashtra, Bengaluru, Karnataka",3-8 Yrs,"['Azure Bot Service', 'Artificial Intelligence', 'Azure Cognitive services Artificial intelligence', 'Conversational AI', 'JAVA/J2EE', 'JSP', 'Core Java', 'CI/CD']"
Remote Pre-Sales Engineer-Data & AI,"Cognitive Bi, Inc",Remote,5-7 Yrs,"['Presales', 'Presales Support', 'IT Consulting', 'Sales Support', 'Presales Consulting', 'Sales Consulting', 'Sales', 'Remote']"
Digital Marketer,Cognitive Revolutions,"Chandigarh, Chandigarh",1-2 Yrs,"['Online Advertising', 'Digital Advertising', 'Google AdWords', 'Social Media Marketing', 'SEO', 'Content Writing', 'Google', 'Digital marketing']"
Tech Lead / Architect - Full stack,Cognitive Navigation,Mumbai,8-10 Yrs,"['Computer science', 'NoSQL', 'Lead Architect', 'RDBMS', 'MySQL', 'DNS', 'Application development', 'Customer support']"
Senior Software Developer ( Full Stack ),Cognitive Navigation,Mumbai,5-10 Yrs,"['Backend', 'Front end', 'Linux', 'Analytical', 'Javascript', 'Agile', 'PHP', 'Workflow']"
Sales Executive,Cognitive Navigation,Mumbai,2-3 Yrs,"['Business administration', 'Lead generation', 'Data analysis', 'Interpersonal skills', 'Sales strategy', 'Sales', 'Customer satisfaction', 'Sales Executive']"
HR Manager,Cognitive Navigation,Mumbai,4-5 Yrs,"['Business administration', 'Performance management', 'Conflict resolution', 'Time management', 'Labour laws', 'Performance appraisal', 'HR', 'Senior HR']"
Business Development Executive,Cognitive Navigation,Mumbai,2-3 Yrs,"['Business administration', 'Trade', 'Data analysis', 'Interpersonal skills', 'Sales strategy', 'Sales', 'Networking', 'Business Development Executive']"
Business Analyst,Cognitive Navigation,Mumbai,4-9 Yrs,"['Aviation', 'Business Analyst', 'Business analysis', 'Process improvement', 'Analytical', 'Business process modeling', 'Operations', 'Information technology']"
Aeronautical Analyst,Cognitive Navigation,Mumbai,1-3 Yrs,"['GIS', 'Cartography', 'Usage', 'Publishing', 'Aviation', 'Analytical', 'Aeronautical', 'Database']"
IT - Front - End Developer ( Angular ),Cognitive Navigation,Mumbai,3-8 Yrs,"['Computer science', 'Front end', 'Linux', 'Analytical', 'MySQL', 'Javascript', 'PHP', 'JSON']"
Intelligent Automation Lead,Birlasoft,"Hybrid - Pune, Maharashtra",8-12 Yrs,"['Robotic Process Automation', 'Rpa', 'Automation Anywhere', 'Voice bot', 'Bot', 'Chatbot', 'Cognitive', 'Voice']"
