Job_Title,Company_name,Job_location,Company_Experience,Job_skills
"Data Scientist, Marketing",Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,"['Data analysis', 'data science', 'Troubleshooting', 'Analytics', 'Monitoring', 'SQL', 'Python', 'Salesforce']"
AI Data Scientist,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-6 Yrs,"['Computer science', 'Text mining', 'deep learning', 'C++', 'Linux', 'Machine learning', 'Sensors', 'Research']"
"Senior Data Scientist, Reporting",Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-7 Yrs,"['Data analysis', 'data science', 'Project management', 'Troubleshooting', 'Analytics', 'SQL', 'Python', 'Salesforce']"
Data Scientist - Senior Associate - P&T Labs,PwC Service Delivery Center,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",4-6 Yrs,"['Automation', 'GCP', 'Analytical', 'Process improvement', 'Machine learning', 'Signal processing', 'Data mining', 'SQL']"
GenAI Data Scientist,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-6 Yrs,"['Computer science', 'Training', 'Web technologies', 'Coding', 'Deployment', 'Automotive', 'Science', 'Computer']"
Reliability Data Scientist,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-7 Yrs,"['Logistic regression', 'Data analysis', 'Distribution analysis', 'Reliability engineering', 'Anova', 'Regression analysis', 'Forecasting', 'Operations']"
Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-15 Yrs,"['deep learning', 'TDD', 'Deployment', 'Natural language processing', 'test driven development', 'MongoDB', 'SQL', 'Python']"
Senior Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10 Yrs,"['Data analysis', 'data science', 'Analytical', 'Machine learning', 'Business planning', 'data governance', 'Predictive modeling', 'data integrity']"
Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-15 Yrs,"['Machine learning', 'Data collection', 'data visualization', 'informatics', 'Machine', 'Collections', 'Data']"
Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-7 Yrs,"['Training', 'Data analysis', 'data science', 'Machine learning', 'Infrastructure', 'Programming', 'model development', 'Deployment']"
