Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor,IMS Learning Resources,"Navi Mumbai, Maharashtra, Mumbai (All Areas)(Sector 26 Vashi +1)",0-1 Yrs,"['presentation skills', 'communication skills', 'Education counseling', 'Counselling', 'Presentation', 'Education']"
Sales Education Counselor,Building Blocks Learning Solution,New Delhi,0-1 Yrs,"['Communication', 'Excellent Communication Skills', 'sales process', 'sales', 'Communication skills', 'Counselling', 'Process', 'Education']"
"Education Counsellor, Academic Coordinator, Mumbai, Andheri (East)",The Hr Bulb,,,"['client servicing', 'education counseling', 'Admission Counselling', 'client success', 'Edtech', 'Career Counselling', 'Educational Marketing', 'Student Counseling']"
Hiring || Education Counsellor/ Admission Counsellor || Jaipur,Collegesathi Com,"Jaipur, Rajasthan",0-3 Yrs,"['Communication Skills', 'English', 'Admission Counselling', 'Education Counseling', 'Educational Marketing', 'International Sales', 'Educational Sales', 'International Clients']"
Tele Caller/Tele Counsellor /Education Counsellor/Career Adviser,Klick Media Labs,Panchkula,0-1 Yrs,"['Social media', 'Media management', 'Education Counsellor', 'Tele Counsellor', 'Counselling', 'Tele Caller', 'Calling', 'Career counselling']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Akash Institute of Medical Science and Research Centre,"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,TOP Edu-Tech Company,"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education counselor(MBA/PGDM),Affinity Education,Noida(Sector-16 Noida),0-4 Yrs,"['counselling', 'Counselling skills', 'Creative Skills', 'Analytical thinking', 'Good listener', 'Good Comm Skills', 'Problem Analysis', 'Leadership Skills']"
Education Counsellor @Baner,Mit,Pune,0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor,Uncodemy,"Noida, Uttar Pradesh, Ghaziabad, Uttar Pradesh, Delhi / NCR",0-5 Yrs,"['IT Training', 'Education Counseling', 'Admission Counselling', 'Student Counseling', 'Individual and Group Counseling', 'Educational Sales', 'Academic Advising', 'Sales']"
Education Counsellor - Urgent hiring,ADA Tech Solutions,"Pune, Maharashtra",0-4 Yrs,"['Convincing Power', 'Education Counseling', 'Counselling', 'Communication Skills', 'Admissions', 'Admission Counselling', 'Inside Sales', 'Career Counselling']"
Education Counsellor @MIT Alandi,Infinikey,Pune(Alandi),0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor - Delhi,Jaypee Brothers Medical Publishers,"New Delhi, Delhi",4-8 Yrs,"['Tele caller', 'Counselling', 'Education counseling', 'Education', 'Telecalling', 'Calling']"
Education Counsellor,Pradhyanam Education,"Noida, Uttar Pradesh(Sector-16 Noida), Greater Noida, Uttar Pradesh, Delhi / NCR",0-3 Yrs,"['Student Counseling', 'Admission Counselling', 'Communication Skills', 'Pressure Handling', 'Convincing Power', 'Cold Calling', 'Inside Sales', 'Business Development']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor,Leading Client,Pune,0-5 Yrs,"['Education Counseling', 'CRM system', 'cold calling', 'lead generation strategies', 'lead generation', 'Education', 'Cold', 'CRM Systems']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Aakash Educational Services (AESL),"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Futuresoft,"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Education Counsellor JOB WEST Delhi/Noida (20k To 32k)+ Inc.+ Dayshift,Futuresoft,"Noida, Delhi / NCR",0-5 Yrs,"['Customer Service', 'BDE', 'DayShift', 'educational sales', 'Business Development', 'Admission Counselling', 'International Call Center', 'Voice Process']"
Overseas Education Counselor - USA,Adventum Student Living,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",2-7 Yrs,"['Overseas Education', 'Student Counseling', 'Admissions', 'Visa Counselling', 'admission counselling', 'Counselling', 'Education counseling', 'Usa']"
Overseas Education Counsellor,New Edge Overseas Consultancy,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",2-6 Yrs,"['Overseas Education', 'Student Counseling', 'Immigration', 'Education Counseling', 'Visa Counselling', 'Career Counselling', 'Counselling', 'Career development']"
Education Counsellor,NareshIT,Hyderabad/Secunderabad,1-5 Yrs,"['Admission Counselling', 'education Counselling', 'Student Counselling', 'Career Counselling', 'Education', 'Counselling', 'Admissions', 'Education counseling']"
Education Counsellor/ Education Sales Jobs In Gurgaon,Paradigmit Technology Services,"Gurugram, Haryana",1-5 Yrs,"['Educational Sales', 'Educational Marketing', 'Admission Counselling', 'Education Counseling', 'Admissions', 'Sales', 'Education', 'Marketing']"
Education Counsellor,Itelligence Infotech,"Navi Mumbai, Maharashtra",0-3 Yrs,"['Councellor', 'Student Counseling', 'Education Counseling', 'Counselling', 'Education']"
Education Counsellor,StockDaddy Bhubaneswar,"Bhubaneswar, Odisha",2-6 Yrs,"['Student Counseling', 'Admissions', 'Counselling', 'Admission Counselling', 'Educational Marketing', 'Enrollment', 'Education Counseling', 'Marketing']"
Education Coach,Xseed Education,Hyderabad/Secunderabad,3-5 Yrs,"['Primary Teaching', 'Teaching', 'teaching strategies', 'classroom management', 'coaching sessions', 'professional development', 'Education', 'Management']"
Education Career Counsellor,Leaders Desk Pvt. Ltd,"Coimbatore, Tamil Nadu",2-5 Yrs,"['Counseling skills', 'Convincing Power', 'Education Industry', 'Interpersonal Skills', 'Student Counseling', 'Admission Counselling', 'Interest in assisting others', 'Analyzing personalities']"
Education Counsellor,IT Education Center,Pune,1-5 Yrs,"['counselling', 'lead generation', 'admissions', 'communication skills', 'Admission Counselling', 'Educational Sales', 'written communication', 'education counseling']"
Subject Expert - Physical and Health Education,The Shri Ram Academy,Gurgaon/Gurugram,2-6 Yrs,"['Training', 'Subject Expert', 'M&A', 'ICT', 'Management', 'Supervision', 'Quest', 'Subject']"
Physical Education Teacher and Coach,The Shri Ram Academy,"Mumbai, Thane",2-3 Yrs,"['Training', 'Basic', 'Interpersonal skills', 'Usage', 'Time management', 'Research', 'Physical education', 'Quest']"
Physical Education Teacher,The Shri Ram Academy,Vijaypur,3-4 Yrs,"['Training', 'Basic', 'Interpersonal skills', 'Usage', 'MIN', 'Time management', 'Research', 'Physical education']"
Education Counselor- Bennett University,ADA Tech Solutions,"Noida, Uttar Pradesh, Greater Noida, Uttar Pradesh(Pari Chowk)",0-3 Yrs,"['Student Counseling', 'Admission Counselling', 'Communication Skills', 'Convincing Power', 'Education Counseling', 'Admissions', 'Education', 'Counselling']"
Urgent Hiring- Education Counselor,ADA Tech Solutions,"Noida, Uttar Pradesh, New Delhi, Delhi, Greater Noida, Uttar Pradesh(Pari Chowk +1)",0-2 Yrs,"['Student Counseling', 'Communication Skills', 'Convincing Power', 'Admissions', 'Career Counselling', 'Counselling', 'Interpersonal Skills', 'Hiring']"
Education Counsellor @Baner,MIT,Pune,0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor @MIT Alandi,Mit,Pune(Alandi),0-5 Yrs,"['Admission Counselling', 'Education Counseling', 'Career Counselling', 'Counselling', 'Student Counseling', 'Customer Service', 'Telesales', 'Solving Queries']"
Education Counsellor,Itprenure Edutech,Pune,0-5 Yrs,"['Inbound Process', 'Bpo Customer Service', 'Voice Support', 'Bpo Voice', 'Customer Care', 'BPO', 'Inbound Sales', 'Telesales']"
Mentor / Manager - Study Abroad / Overseas Education Counseling,Info Edge,"Noida, Uttar Pradesh",5-10 Yrs,"['Counseling', 'Overseas Education', 'Student Counseling', 'Admission Counselling', 'study abroad', 'Admissions', 'Enrollment', 'Visa Counselling']"
Assistant Teacher/ Education Facilitator-CAIE Board  -Vibgyor-Vadodara,Vibgyor Group of Schools,"Vadodara/ Baroda, Gujarat",0-5 Yrs,"['English', 'Education', 'Teacher', 'Teaching', 'Assistance']"
Behaviour Technician/ Behaviour Therapist/ Special Education/ B.Ed,The Outcomes Aba,"Chennai, Tamil Nadu",0-3 Yrs,"['Fluent English', 'Speech Therapy', 'Child Development', 'Childcare', 'Behavioural Training', 'Psychology', 'Special Education', 'Teaching']"
Education Counsellor,Eduvogue,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",0-3 Yrs,"['Student counseling', 'Telesales', 'Admission Counsellor', 'Telecalling', 'UPS', 'Cash management', 'Education Counsellor', 'Advisory']"
Physical Education Directors / Teachers ( Both Genders ),Reputed Group of Education Institutions in Bengaluru South.,Bangalore/Bengaluru(HSR Layout +6),0-5 Yrs,"['physical education', 'Physical Training', 'Sports', 'Tennis', 'Volleyball', 'B.P.Ed', 'Coaching', 'MPEd']"
Business Development Executive (Education Counsellor),Iide Education,Mumbai,0-2 Yrs,"['Counsellor', 'Interpersonal skills', 'Sales', 'MIN', 'Automation tools', 'Business Development Executive', 'Education Counsellor', 'Digital marketing']"
Education Counsellor,Shujaat Ali,"Mumbai Suburban, Maharashtra",0-1 Yrs,"['Education Counseling', 'Education', 'Counselling']"
Education Counselor,NareshIT,Hyderabad/Secunderabad,1-5 Yrs,"['Education Counselling', 'Admission Management', 'Career Counselling', 'Student Counselling', 'career planning', 'counseling', 'Education Counselor', 'Student counseling']"
Primary Teachers,Education Industry,"Rohtak, New Delhi, Bhiwani",0-1 Yrs,"['Teaching', 'Math Teacher', 'Social Science Teacher', 'Primary Teacher', 'Teaching Maths', 'Science', 'Social science', 'Mathematics']"
PRT -VALUE EDUCATION,D.A.V. Chennai,Chennai,1-4 Yrs,"['Curriculum development', 'Teaching', 'PRT', 'Education', 'Development']"
Education Counsellor,RMS business school,"Gurugram, Haryana(Jharsa)",2-5 Yrs,"['Admission Counselling', 'Educational Marketing', 'Student Counseling', 'Communication Skills', 'Convincing Power', 'Admissions', 'Education Counseling', 'Education Industry']"
