Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Site Incharge / State Coordinator AM,Renew Llc,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-4 Yrs,"['Renewable energy', 'Compliance', 'Finance', 'Solar energy', 'Power sector', 'wind energy', 'Budgeting', 'Power projects']"
Senior Manufacturing Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-13 Yrs,"['Assembly line', 'Interpersonal skills', 'Process planning', 'Process documentation', 'Project management', 'Line balancing', 'Assembly process', 'Manufacturing engineering']"
Process Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Process design', 'QC', 'Process engineering', 'Chemical engineering', 'GMP', 'System development', 'Sanitary', 'Hydraulic calculations']"
Construction Planner,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",15-20 Yrs,"['Change management', 'Civil', 'Mechanical', 'Occupational health', 'Environment protection', 'FMCG', 'Budgeting', 'HSE']"
PPC Requirement || Construction Manager,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",15-20 Yrs,"['Change management', 'query', 'Mechanical', 'Occupational health', 'Environment protection', 'FMCG', 'Budgeting', 'Construction management']"
Piping Material Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,"['ERM', 'Management', 'Materials', 'Piping']"
Piping Lead,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",10-14 Yrs,"['Accessories', '3D', 'Manufacturing process', 'Equipment layout', 'Valves', 'Acad', 'Bid evaluation', 'Bidding']"
NI Veristand specialist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,"['Drilling', 'ISTQB', 'Hardware', 'Testing', 'Python', 'Software testing', 'Ni']"
I&C Design Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-11 Yrs,"['Loop', 'Control valves', 'Instrument index', 'SIS', 'Design engineering', 'Design', 'SI', 'C']"
Fuel System engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",12-15 Yrs,"['Training', 'Powertrain', 'Purchase', 'Manager Quality Assurance', 'Process control', 'Manager Technology', 'System design', 'Mechanical engineering']"
