Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Technical Specialist,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-10 Yrs,"['Technical training', 'Interpersonal skills', 'Hardware', 'Technical Staff', 'Research', 'Management', 'Troubleshooting', 'Technical support']"
Devops Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Patch management', 'Maven', 'Automation', 'github', 'Managed services', 'Shell scripting', 'splunk', 'Monitoring']"
Technical Lead I - Java Microservices,Citiustech,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-8 Yrs,"['spring boot', 'SOA', 'Coding', 'Healthcare', 'Technical Lead', 'Agile methodology', 'Unit testing', 'Monitoring']"
Technical Lead I - Data Build Tool,Citiustech,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-7 Yrs,"['Data validation', 'Coding', 'Cloud', 'Healthcare', 'Technical Lead', 'Data quality', 'data integrity', 'US healthcare']"
Technical Lead I - ODM,Citiustech,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-7 Yrs,"['spring boot', 'Business transformation', 'Coding', 'Technical leadership', 'Manager Technology', 'Technical Lead', 'Healthcare', 'Agile methodology']"
Solution Architect,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-3 Yrs,"['Business process', 'Backend', 'Enterprise architecture', 'TOGAF', 'GCP', 'Consulting', 'Agile', 'Application development']"
Software Engineer HTHD,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['spring boot', 'Web technologies', 'Data management', 'Coding', 'Enterprise architecture', 'Time management', 'Javascript', 'Agile']"
Senior Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-5 Yrs,"['JCL', 'Application support', 'Production support', 'Db2', 'Coding', 'Cobol', 'Agile', 'Teradata']"
FCSD Tech - Full Stack Software Engineer SG7 HTHD,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Object oriented design', 'Maven', 'Core Java', 'Data analysis', 'Machine learning', 'Agile', 'Customer service', 'Unit testing']"
FCSD Tech - Full Stack Software Engineer SG6,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Object oriented design', 'Maven', 'Core Java', 'Data analysis', 'Machine learning', 'Agile', 'Customer service', 'Unit testing']"
FCSD Tech - Engineering Manager,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,"['Architecture', 'Coding', 'Technical Expert', 'Cloud Services', 'Agile', 'Manager Technology', 'Management', 'Teaching']"
Services Lead,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Wireless', 'Assurance', 'Performance management', 'VAS', 'Customer service', 'Troubleshooting', 'Continuous improvement', 'cisco']"
Senior Technical Specialist,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Automation', 'Networking', 'Ethernet', 'Consulting', 'Perl', 'Firmware', 'SCM', 'SDLC']"
R&D Engineer SW,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Telecom', 'Linux', 'devops', 'Javascript', 'Programming', 'HTML', 'Apache', 'Operations']"
Customer Documentation Developer,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-5 Yrs,"['Unix', 'PLM', 'Content management', 'Manager Quality Assurance', 'XML', 'Consulting', 'Agile', 'Telecommunication']"
Sr.Cyber Security Engineer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Manager Quality Assurance', 'ISO', 'Coding', 'SOC', 'Workflow', 'Healthcare', 'Application development', 'Selenium']"
SQL Application Developer - Front Office Solutions,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Order management', 'Front office', 'C++', 'Underwriting', 'Back office', 'Windows', 'Analytics', 'Monitoring']"
Senior Developer - Data Engineer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Manager Quality Assurance', 'Coding', 'Engineering Manager', 'Healthcare', 'Application development', 'Selenium', 'Data warehousing', 'Analytics']"
Scrum Master and Azure Dashboard Specialist,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9 Yrs,"['Data analysis', 'Manager Quality Assurance', 'Project management', 'Agile', 'power bi', 'Application development', 'Scrum', 'Selenium']"
IT Infrastructure and Operation Analyst - Splunk Admin,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-9 Yrs,"['Procurement', 'Change management', 'Linux', 'Data management', 'Analytical', 'Windows', 'IT operations', 'Macros']"
Software Engineer HTHD,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['spring boot', 'Web technologies', 'Data management', 'Coding', 'Enterprise architecture', 'Time management', 'Javascript', 'Agile']"
Senior Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-5 Yrs,"['JCL', 'Application support', 'Production support', 'Db2', 'Coding', 'Cobol', 'Agile', 'Teradata']"
FCSD Tech - Full Stack Software Engineer SG7 HTHD,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Object oriented design', 'Maven', 'Core Java', 'Data analysis', 'Machine learning', 'Agile', 'Customer service', 'Unit testing']"
FCSD Tech - Full Stack Software Engineer SG6,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Object oriented design', 'Maven', 'Core Java', 'Data analysis', 'Machine learning', 'Agile', 'Customer service', 'Unit testing']"
FCSD Tech - Engineering Manager,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,"['Architecture', 'Coding', 'Technical Expert', 'Cloud Services', 'Agile', 'Manager Technology', 'Management', 'Teaching']"
Services Lead,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Wireless', 'Assurance', 'Performance management', 'VAS', 'Customer service', 'Troubleshooting', 'Continuous improvement', 'cisco']"
Senior Technical Specialist,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Automation', 'Networking', 'Ethernet', 'Consulting', 'Perl', 'Firmware', 'SCM', 'SDLC']"
R&D Engineer SW,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Telecom', 'Linux', 'devops', 'Javascript', 'Programming', 'HTML', 'Apache', 'Operations']"
Customer Documentation Developer,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-5 Yrs,"['Unix', 'PLM', 'Content management', 'Manager Quality Assurance', 'XML', 'Consulting', 'Agile', 'Telecommunication']"
Sr.Cyber Security Engineer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Manager Quality Assurance', 'ISO', 'Coding', 'SOC', 'Workflow', 'Healthcare', 'Application development', 'Selenium']"
SQL Application Developer - Front Office Solutions,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Order management', 'Front office', 'C++', 'Underwriting', 'Back office', 'Windows', 'Analytics', 'Monitoring']"
Senior Developer - Data Engineer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Manager Quality Assurance', 'Coding', 'Engineering Manager', 'Healthcare', 'Application development', 'Selenium', 'Data warehousing', 'Analytics']"
Scrum Master and Azure Dashboard Specialist,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9 Yrs,"['Data analysis', 'Manager Quality Assurance', 'Project management', 'Agile', 'power bi', 'Application development', 'Scrum', 'Selenium']"
IT Infrastructure and Operation Analyst - Splunk Admin,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-9 Yrs,"['Procurement', 'Change management', 'Linux', 'Data management', 'Analytical', 'Windows', 'IT operations', 'Macros']"
DevOps Lead,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Automation', 'Manager Quality Assurance', 'Linux', 'Networking', 'Configuration management', 'Network security', 'Application development', 'Selenium']"
Blockchain Developer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-7 Yrs,"['IT services', 'Manager Quality Assurance', 'Postgresql', 'Network security', 'Healthcare', 'Application development', 'Selenium', 'Information technology']"
Azure Devops Lead,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Automation', 'Manager Quality Assurance', 'Linux', 'Networking', 'Configuration management', 'Network security', 'Application development', 'Selenium']"
ASP.NET Fullstack Sr.Developer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-7 Yrs,"['IT services', 'Supply chain', 'Manager Quality Assurance', 'Coding', 'Healthcare', 'Application development', 'Selenium', 'Analytics']"
ASP.NET Fullstack Lead Developer,Mclaren Strategic Solutions (mss),"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-9 Yrs,"['IT services', 'Supply chain', 'Manager Quality Assurance', 'Coding', 'Healthcare', 'Application development', 'Selenium', 'Analytics']"
Bench Sales Recruiter,ICP Solutions LTD,"Hyderabad, Telangana(Srinagar Colony +2)",5-6 Yrs,"['US Staffing', 'Bench Sales', 'US IT Staffing', 'C2C', 'Bench Management', 'Management', 'IT staffing', 'Recruitment']"
US It Recruiter,Espirit Technologies,Hyderabad(Abids),2-4 Yrs,"['C2C', 'H1B', 'W2', 'US Staffing', 'us it recruiting', 'IT recruitment', 'Recruitment', 'US IT recruitment']"
Incident Manager,Atos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Cloud', 'Manager Technology', 'Quality analysis', 'digital transformation', 'Technology', 'Analysis', 'Technology management', 'Digital']"
Software Engineer,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['Business process', 'Process design', 'SAP ERP', 'Sales', 'Billing', 'Integration testing', 'Agile', 'Agile methodology']"
Technical Lead I - PostgreSQL,Citiustech,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",4-9 Yrs,"['Unix', 'Performance tuning', 'Linux', 'Coding', 'Postgresql', 'Database', 'Infrastructure', 'Technical Lead']"
Qliksense Developer,Capco,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-8 Yrs,"['SAS', 'Enterprise architecture', 'Analytical', 'Agile', 'Asset management', 'QlikView', 'Risk management', 'Financial services']"
