Job_Title,Company_name,Job_location,Company_Experience,Job_skills
"Manager I, ML Data Operations",Amazon,"Hyderabad, Telangana",4-9 Yrs,"['Data Operations', 'Machine Learning', 'Operations Management', 'Workforce Management', 'Machine Programming', 'People Management', 'Machine', 'Data Operation']"
AI/ Machine Learning Engineer,Jaia Tech Ventures Llp,Bengaluru(Whitefield),0-3 Yrs,"['Artificial Intelligence', 'Machine Learning', 'Troubleshooting Skills', 'Statistical Analyses', 'Data Processing', 'Python Development', 'Proficiency in programming languages', 'R Program']"
Machine Learning Operations-AI Platform Engineer,Accenture,Bangalore/Bengaluru,2-5 Yrs,"['deep learning', 'Neural networks', 'Machine learning', 'Natural language processing', 'artificial intelligence', 'Machine', 'Process', 'Processing']"
SAS Visual Data Mining & Machine Learning-Technology Platform Engineer,Accenture,Bangalore/Bengaluru,5-10 Yrs,"['Automation', 'Data mining', 'SQL', 'Python', 'Machine learning', 'SAS Programming', 'Natural language processing', 'data visualization']"
Manage / Lead -Data Scientist -  Machine Learning,_VOIS,Pune,4-8 Yrs,"['Machine Learning', 'Data Science', 'Deep learning', 'NLP', 'Big Data', 'Prescriptive Analytics', 'AWS', 'Science']"
Senior Machine Learning Engineer - ( AI / ML Team ),Discovery Communications,Bangalore/Bengaluru,5-8 Yrs,"['Machine Learning', 'Golang', 'Java', 'algorithms', 'configuration', 'Scala', 'data verification', 'A/B testing']"
Machine learning engineer,Trask,Bangalore/Bengaluru,2-5 Yrs,"['deep learning', 'C++', 'Medical devices', 'data science', 'Artificial Intelligence', 'Machine learning', 'Data structures', 'Natural language processing']"
Senior Advisor - Machine Learning Engineer,Dell Technologies,Bangalore/Bengaluru,7-10 Yrs,"['Machine Learning', 'Jenkins', 'Data Science', 'GIT', 'Linux', 'Software Engineering', 'Strategic planning', 'Data collection']"
Machine Learning Operations-AI Platform Engineer,Accenture,Bangalore/Bengaluru,10-12 Yrs,"['Neural networks', 'Machine learning', 'Packaging', 'Natural language processing', 'deep learning', 'Auditing', 'Process', 'Networking']"
Machine Learning-Application Developer,Accenture,Bangalore/Bengaluru,2-5 Yrs,"['Machine learning', 'educational qualification', 'application development', 'Application', 'Machine', 'Education', 'Development']"
Machine Learning Operations (MLOps) Engineer - Python,Mclaren Strategic Solutions (mss),Bangalore/Bengaluru,2-5 Yrs,"['IT services', 'Manager Quality Assurance', 'Data structures', 'Healthcare', 'Application development', 'Selenium', 'Troubleshooting', 'Monitoring']"
Senior Data Scientist - Artificial Intelligence / Machine Learning,Leading Client,Mumbai,10-12 Yrs,"['Artificial Intelligence', 'MLOps', 'Supply Chain Analytics', 'Operational Analytics', 'ML algorithms', 'Price Optimization', 'Machine Learning', 'Google Cloud']"
Senior Data Scientist - Machine Learning / Artificial Intelligence,Leading Client,Mumbai,10-12 Yrs,"['Supply Chain Analytics', 'R', 'MLOps', 'Data Scientist', 'Artificial Intelligence', 'Data Visualization', 'Regression Modeling', 'Machine Learning']"
Artificial Intelligence/Machine Learning Engineer - NLP,EzeiaTech,Gurgaon/Gurugram,1-5 Yrs,"['Artificial Intelligence', 'NLP', 'Tensorflow.deep learning framework', 'Machine Learning', 'Deep Learning', 'Python', 'Natural language processing', 'Machine']"
Manager_ Lead_ Data Scientist / Machine Learning,_VOIS,Pune,8-12 Yrs,"['Machine Learning', 'Deep learning', 'Cloud', 'Big Data', 'deep learning algorithms', 'Business intelligence', 'Prescriptive Analytics', 'AWS']"
Staff Machine Learning Engineer,Chegg,Delhi / NCR,7-12 Yrs,"['Natural Language Processing', 'Large Language Models', 'Machine Learning', 'Processing', 'Languages', 'Process', 'Machine', 'Large']"
Machine Learning Engineer - Deep Learning,Forward eye technologies,Bangalore/Bengaluru,8-12 Yrs,"['Machine Learning', 'Data Science', 'Data Version Control', 'Apache Airflow', 'NLP', 'Git', 'data manipulation', 'Artificial Intelligence']"
Sr Machine Learning Engineer - GenAI,Artpark,Bangalore/Bengaluru,3-7 Yrs,"['NoSQL', 'GCP', 'Machine learning', 'Natural language processing', 'Open source', 'Analytics', 'Robotics', 'SQL']"
