Job_Title,Company_name,Job_skills,Job_location,Company_Experience
Walkin Drive - Medical Representative in Lupin Pharma in Mumbai,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Medical Representative - Sales - Pharma & Wellness Vertical,The Ruby Mills Ltd,"['Sales', 'Healthcare Sales', 'cold calling', 'Wellness & Fitness Sales', 'Pharma Sales', 'sales achievement', 'Pharmaceutical', 'Vertical']","Mumbai, Thane, Navi Mumbai, Delhi / NCR, Delhi",2-4 Yrs
"Medical Coding Job For Pharma,Pharmacist, Pharmacy,b pharm,M Pharm,D P",Achievers Spot,"['B.Pharm', 'M.Pharm', 'Pharmacy', 'D.pharm', 'Pharm D', 'Dietetics', 'Biotechnology', 'Medical Microbiology']","Chennai, Tiruchirapalli/Trichy, Erode",0-3 Yrs
Healthcare Documentation Specialist,Pharma Healthcare,"['Medical Records', 'Healthcare Data', 'pharma', 'Biotechnology', 'Pharmaceutics', 'Microbiology', 'Healthcare Bpo', 'Science']","Hybrid - Delhi / NCR, Bengaluru, Mumbai (All Areas)",0-1 Yrs
Medical Sales Representative/Pharma Selling,Digifocal It,"['Medical Sales Representative', 'Pharma', 'Healthcare', 'Pharma selling', 'Scheduling', 'Research', 'Recruitment', 'Medical Sales']","Mumbai, Indore",0-3 Yrs
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Walkin - Medical Representative in Lupin Pharma,Lupin,"['sales', 'Pharma Selling', 'doctor visit', 'Medical Rep', 'MR', 'Medical Sales', 'Medical representative', 'rcpa']",,
Medical Representative,Pharma MNC company,"['Pharma sales', 'Communication Skills', 'Area Sales', 'Sales', 'Medical', 'Pharmaceutical', 'Pharma selling']",Hyderabad,2-5 Yrs
"Regulatory Affairs Executive/Manager - Pharma Formulation, Navi Mumbai",Pharma Companies,"['Regulatory Affairs', 'RA', 'Row Market', 'Europe', 'Formulation', 'Row', 'Pharmaceutical', 'Regulatory']","Navi Mumbai, Maharashtra",6-10 Yrs
Medical Representative,Pharma MNC company,"['Communication Skills', 'Pharmaceutical Sales', 'Therapy', 'Area Sales', 'Pharmaceutical', 'Sales', 'Medical']",Mumbai (All Areas),2-5 Yrs
